# Integration time (s): 0.1
# X	Y	Counts
-1.0	-16.0	7052.0
1.0	-16.0	7865.0
3.0	-16.0	8341.0
5.0	-16.0	8993.0
7.0	-16.0	8634.0
9.0	-16.0	8423.0
11.0	-16.0	8813.0
13.0	-16.0	7983.0
15.0	-16.0	7816.0
17.0	-16.0	7139.0
19.0	-16.0	6828.0
21.0	-16.0	6369.0
23.0	-16.0	5791.0
25.0	-16.0	5644.0
27.0	-16.0	5389.0
29.0	-16.0	5114.0
29.0	-14.0	6556.0
27.0	-14.0	6778.0
25.0	-14.0	6961.0
23.0	-14.0	7929.0
21.0	-14.0	8826.0
19.0	-14.0	9416.0
17.0	-14.0	10403.0
15.0	-14.0	11236.0
13.0	-14.0	11932.0
11.0	-14.0	11912.0
9.0	-14.0	12129.0
7.0	-14.0	12068.0
5.0	-14.0	12162.0
3.0	-14.0	11510.0
1.0	-14.0	10269.0
-1.0	-14.0	8799.0
-1.0	-12.0	10788.0
1.0	-12.0	13901.0
3.0	-12.0	16251.0
5.0	-12.0	18145.0
7.0	-12.0	18533.0
9.0	-12.0	18206.0
11.0	-12.0	18306.0
13.0	-12.0	18554.0
15.0	-12.0	17065.0
17.0	-12.0	16393.0
19.0	-12.0	15041.0
21.0	-12.0	13229.0
23.0	-12.0	12005.0
25.0	-12.0	11059.0
27.0	-12.0	10112.0
29.0	-12.0	9015.0
29.0	-10.0	14942.0
27.0	-10.0	16322.0
25.0	-10.0	18699.0
23.0	-10.0	20079.0
21.0	-10.0	22736.0
19.0	-10.0	24238.0
17.0	-10.0	25801.0
15.0	-10.0	26802.0
13.0	-10.0	28678.0
11.0	-10.0	29645.0
9.0	-10.0	29283.0
7.0	-10.0	27936.0
5.0	-10.0	26151.0
3.0	-10.0	21562.0
1.0	-10.0	17731.0
-1.0	-10.0	14027.0
-1.0	-8.0	18576.0
1.0	-8.0	24071.0
3.0	-8.0	29368.0
5.0	-8.0	37291.0
7.0	-8.0	42685.0
9.0	-8.0	45220.0
11.0	-8.0	43412.0
13.0	-8.0	45598.0
15.0	-8.0	44000.0
17.0	-8.0	41844.0
19.0	-8.0	38973.0
21.0	-8.0	36718.0
23.0	-8.0	35178.0
25.0	-8.0	32065.0
27.0	-8.0	27882.0
29.0	-8.0	24918.0
29.0	-6.0	43894.0
27.0	-6.0	48219.0
25.0	-6.0	52648.0
23.0	-6.0	57559.0
21.0	-6.0	61171.0
19.0	-6.0	63064.0
17.0	-6.0	65025.0
15.0	-6.0	65954.0
13.0	-6.0	66312.0
11.0	-6.0	69505.0
9.0	-6.0	81891.0
7.0	-6.0	85097.0
5.0	-6.0	51609.0
3.0	-6.0	39845.0
1.0	-6.0	30961.0
-1.0	-6.0	21416.0
-1.0	-4.0	21272.0
1.0	-4.0	30896.0
3.0	-4.0	46134.0
5.0	-4.0	70452.0
7.0	-4.0	119626.0
9.0	-4.0	212981.0
11.0	-4.0	142857.0
13.0	-4.0	111363.0
15.0	-4.0	101277.0
17.0	-4.0	98217.0
19.0	-4.0	95179.0
21.0	-4.0	94906.0
23.0	-4.0	91464.0
25.0	-4.0	87287.0
27.0	-4.0	79901.0
29.0	-4.0	72695.0
29.0	-2.0	116497.0
27.0	-2.0	127680.0
25.0	-2.0	135584.0
23.0	-2.0	141288.0
21.0	-2.0	150895.0
19.0	-2.0	146611.0
17.0	-2.0	153771.0
15.0	-2.0	153765.0
