693,1496	377
693,22406	396
693,29852	375
693,37299	380
693,44745	391
693,52191	384
693,59637	407
693,67084	382
693,7453	393
693,81976	388
693,89417	396
693,96863	387
694,04309	388
694,11755	400
694,19202	409
694,26648	380
694,34094	400
694,41541	378
694,48987	388
694,56433	379
694,63879	384
694,71326	386
694,78772	367
694,86218	397
694,93665	394
695,01105	402
695,08551	400
695,15997	390
695,23444	408
695,3089	384
695,38336	394
695,45782	391
695,53229	394
695,60675	404
695,68115	387
695,75562	408
695,83008	379
695,90454	406
695,979	398
696,05347	400
696,12787	387
696,20233	398
696,27679	414
696,35126	393
696,42572	403
696,50018	420
696,57458	386
696,64905	398
696,72351	403
696,79797	399
696,87244	379
696,94684	405
697,0213	407
697,09576	395
697,17023	394
697,24463	417
697,31909	395
697,39355	403
697,46802	405
697,54242	403
697,61688	381
697,69135	419
697,76581	406
697,84021	408
697,91467	392
697,98914	419
698,0636	400
698,138	398
698,21246	417
698,28693	425
698,36133	409
698,43579	434
698,51025	388
698,58466	419
698,65912	400
698,73358	416
698,80798	408
698,88245	433
698,95691	418
699,03131	415
699,10577	396
699,18024	407
699,25464	407
699,3291	417
699,40356	408
699,47797	409
699,55243	414
699,62683	416
699,70129	427
699,77576	420
699,85016	432
699,92462	419
699,99902	425
700,07349	401
700,14795	428
700,22235	418
700,29681	420
700,37122	420
700,44568	426
700,52008	421
700,59454	439
700,66901	396
700,74341	431
700,81787	405
700,89227	420
700,96674	407
701,04114	417
701,1156	442
701,19	447
701,26447	434
701,33887	433
701,41333	441
701,48773	431
701,56219	409
701,6366	398
701,71106	441
701,78546	432
701,85986	444
701,93433	445
702,00873	418
702,08319	454
702,15759	416
702,23206	428
702,30646	443
702,38092	426
702,45532	415
702,52972	450
702,60419	444
702,67859	441
702,75305	448
702,82745	442
702,90186	437
702,97632	431
703,05072	429
703,12512	444
703,19958	449
703,27399	415
703,34845	437
703,42285	484
703,49725	462
703,57172	453
703,64612	461
703,72052	455
703,79498	413
703,86938	443
703,94379	442
704,01819	453
704,09265	454
704,16705	479
704,24146	486
704,31592	485
704,39032	469
704,46472	468
704,53912	443
704,61359	458
704,68799	460
704,76239	480
704,83679	466
704,91125	483
704,98566	461
705,06006	464
705,13446	475
705,20892	491
705,28333	450
705,35773	460
